LLM,llm_key,Dimension,ElasticNet_R2,Ridge_R2,R2_Improvement,ElasticNet_RMSE,Ridge_RMSE,Sparsity_%
Llama-3.1-8B,llama,openness,-0.04444160619733184,,,0.11550085228974326,,97.36328125
Llama-3.1-8B,llama,conscientiousness,-0.016788650317388853,,,0.1747044866128197,,100.0
Llama-3.1-8B,llama,extraversion,-0.0006320109861284173,,,0.129926812769285,,100.0
Llama-3.1-8B,llama,agreeableness,-1.2633620236623955e-05,,,0.16507473294319824,,100.0
Llama-3.1-8B,llama,neuroticism,-0.031827902737044944,,,0.2098850006045188,,100.0
GPT-OSS-120B,gpt,openness,-0.019303539896050603,,,0.13007274887538894,,100.0
GPT-OSS-120B,gpt,conscientiousness,-0.005043772265358459,,,0.0942249734677596,,100.0
GPT-OSS-120B,gpt,extraversion,-0.001971454912928605,,,0.10088516057874913,,100.0
GPT-OSS-120B,gpt,agreeableness,-0.014337941373314456,,,0.1373096705443575,,100.0
GPT-OSS-120B,gpt,neuroticism,-0.030874200147331443,,,0.17447247066853425,,99.90234375
Gemma-2-9B,gemma,openness,-0.021306314295849837,,,0.05365689610851526,,100.0
Gemma-2-9B,gemma,conscientiousness,-0.0001108838118684119,,,0.08309943215810801,,100.0
Gemma-2-9B,gemma,extraversion,-0.01902587519025878,,,0.07318469785412797,,100.0
Gemma-2-9B,gemma,agreeableness,-0.016560128909878902,,,0.11458573482331907,,100.0
Gemma-2-9B,gemma,neuroticism,-0.014236864636273605,,,0.16712590767208516,,99.90234375
DeepSeek-V3.1,deepseek,openness,-0.0004336188436833144,,,0.10807433784206129,,100.0
DeepSeek-V3.1,deepseek,conscientiousness,-0.005633333333332935,,,0.08684612829596955,,100.0
DeepSeek-V3.1,deepseek,extraversion,-0.020306185204709726,,,0.07620080380153481,,100.0
DeepSeek-V3.1,deepseek,agreeableness,-0.005580404236465775,,,0.1543737348126293,,100.0
DeepSeek-V3.1,deepseek,neuroticism,-0.0006260799879789225,,,0.19988996973335102,,100.0
Qwen-2.5-72B,qwen,openness,-3.032508490985464e-06,,,0.07250608638592884,,100.0
Qwen-2.5-72B,qwen,conscientiousness,-8.74297065160956e-05,,,0.13504057932896882,,100.0
Qwen-2.5-72B,qwen,extraversion,-0.07815939946183925,,,0.06705971999122498,,100.0
Qwen-2.5-72B,qwen,agreeableness,-0.0002039509169364795,,,0.09726328989641117,,100.0
Qwen-2.5-72B,qwen,neuroticism,-0.0007291286912141093,,,0.149685927699739,,100.0
