feature,importance
grade_A,0.07541923
grade_B,0.01892686
term_ 60 months,0.015949275
int_rate,0.00980418
term_ 36 months,0.00852527
zip_code_986xx,0.005676832
purpose_small_business,0.0055496274
grade_C,0.004463024
zip_code_322xx,0.0043358933
zip_code_750xx,0.004334142
addr_state_CO,0.0042991233
purpose_credit_card,0.004229385
zip_code_601xx,0.004151056
addr_state_LA,0.0041331137
zip_code_223xx,0.004129729
sub_grade_A4,0.0040684124
zip_code_017xx,0.0040614847
zip_code_333xx,0.004058444
zip_code_331xx,0.0040025664
purpose_other,0.0039980165
annual_inc,0.0038265532
zip_code_021xx,0.003823975
zip_code_321xx,0.0037048785
zip_code_954xx,0.00366914
zip_code_117xx,0.0036637501
purpose_medical,0.0036578411
zip_code_031xx,0.003641128
zip_code_972xx,0.003576664
verification_status_Not Verified,0.00355694
zip_code_600xx,0.003432183
issue_d_Jul-2008,0.0034310434
addr_state_PA,0.0034250964
emp_length_3 years,0.0034077407
addr_state_NJ,0.0033900838
addr_state_SC,0.003363035
addr_state_AR,0.0033620505
emp_length_missing,0.0033397304
zip_code_100xx,0.0033365034
purpose_major_purchase,0.0033160166
tax_liens,0.003310412
addr_state_NY,0.0033094282
issue_d_Mar-2010,0.0033071958
sub_grade_F5,0.0032770573
zip_code_074xx,0.0032709253
purpose_house,0.00326953
addr_state_MA,0.0032484077
zip_code_210xx,0.003243538
zip_code_705xx,0.003188025
sub_grade_A3,0.003177953
sub_grade_E3,0.0031738998
addr_state_NV,0.003155332
zip_code_191xx,0.0031273297
purpose_moving,0.0031249314
zip_code_940xx,0.0031115287
addr_state_NC,0.003111057
issue_d_Feb-2013,0.003106719
addr_state_FL,0.0030944683
addr_state_IL,0.0030929293
issue_d_Jan-2012,0.0030906536
zip_code_787xx,0.0030697663
zip_code_606xx,0.0030483746
sub_grade_C3,0.0030373065
addr_state_VA,0.0030230342
issue_d_Jan-2008,0.0030156765
emp_length_1 year,0.0030025737
zip_code_276xx,0.0030005192
zip_code_801xx,0.00299994
home_ownership_OWN,0.002988481
issue_d_Apr-2011,0.0029862123
issue_d_Jul-2012,0.0029808288
zip_code_782xx,0.0029764145
issue_d_Oct-2009,0.0029545678
addr_state_DE,0.0029485966
zip_code_633xx,0.0029450713
zip_code_334xx,0.002942586
issue_d_Dec-2010,0.002938821
zip_code_480xx,0.0029358058
issue_d_Oct-2010,0.002931819
addr_state_GA,0.002912393
zip_code_982xx,0.0029111104
sub_grade_B4,0.0029089772
zip_code_150xx,0.0029080461
issue_d_Apr-2010,0.0029077134
zip_code_295xx,0.0029017997
issue_d_Oct-2011,0.0028954055
zip_code_673xx,0.0028912132
zip_code_920xx,0.002882568
issue_d_Nov-2012,0.0028783916
sub_grade_A2,0.002869954
zip_code_275xx,0.002869398
emp_length_4 years,0.002867743
addr_state_WI,0.002857483
issue_d_Feb-2011,0.0028444068
inq_last_6mths,0.0028364982
zip_code_327xx,0.002832989
issue_d_Aug-2012,0.0028273538
issue_d_Dec-2012,0.0028260702
issue_d_Jan-2011,0.0028239696
issue_d_Jan-2010,0.0028212683
zip_code_082xx,0.0028068055
revol_bal,0.0028021233
zip_code_272xx,0.0027884725
zip_code_604xx,0.002788154
addr_state_KS,0.002784831
issue_d_Jul-2013,0.0027842596
emp_length_10+ years,0.0027835993
zip_code_852xx,0.002776011
sub_grade_B5,0.0027704537
sub_grade_C2,0.002768753
issue_d_Jul-2009,0.002759844
issue_d_Oct-2013,0.0027576685
zip_code_927xx,0.00275176
sub_grade_B1,0.0027491886
emp_length_8 years,0.0027487082
addr_state_UT,0.0027471322
sub_grade_A5,0.0027459573
addr_state_MT,0.0027444365
addr_state_TX,0.0027425701
issue_d_Apr-2013,0.0027419666
addr_state_AZ,0.0027209464
zip_code_148xx,0.0027049796
zip_code_531xx,0.0026800174
zip_code_170xx,0.0026778805
zip_code_917xx,0.0026669921
agreeableness,0.0026640443
issue_d_Sep-2013,0.0026627386
zip_code_207xx,0.0026572195
zip_code_483xx,0.0026568167
sub_grade_C1,0.0026371053
issue_d_Jan-2014,0.002631088
emp_length_< 1 year,0.0026301644
zip_code_028xx,0.0026261292
zip_code_916xx,0.0026243716
purpose_vacation,0.0026238954
addr_state_MI,0.0026235927
zip_code_974xx,0.0026175024
verification_status_Verified,0.0026110027
zip_code_984xx,0.002594034
grade_E,0.0025741013
zip_code_344xx,0.0025657027
extraversion,0.0025597627
zip_code_970xx,0.0025464122
emp_length_2 years,0.0025415644
