Unnamed: 0,id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,url,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,debt_settlement_flag,target,openness_truth,conscientiousness_truth,extraversion_truth,agreeableness_truth,neuroticism_truth
1382,1050684,7000,7000,7000.0, 36 months,  8.90%,222.28,A,A5,Furniture Row Companies,2 years,MORTGAGE,23000.0,Not Verified,Dec-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=1050684,debt_consolidation,"Consolidation, Lower Interest",648xx,MO,6.0,0,Jan-2006,700,704,0,48.0,,6,0,3763,28.7%,7,f,0.0,0.0,7992.007348833,7992.01,7000.0,992.01,0.0,0.0,0.0,Sep-2014,886.05,,Jun-2019,674,670,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,0,0.35,0.65,0.5,0.55,0.45
7196,885922,12000,12000,11975.0, 60 months, 11.71%,265.18,B,B3,verizon wireless,10+ years,MORTGAGE,40809.0,Verified,Sep-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=885922,other,personal,336xx,FL,27.26,0,May-2000,730,734,1,,,7,0,9614,52%,11,f,0.0,0.0,3252.82,3246.05,1543.52,1101.38,0.0,607.92,5.89,Aug-2012,265.18,,Oct-2016,589,585,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,1,0.55,0.65,0.45,0.6,0.4
293,1065752,25000,25000,25000.0, 36 months,  9.91%,805.63,B,B1,City & County of San Francisco,9 years,RENT,61000.0,Source Verified,Dec-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=1065752,debt_consolidation,Titanium loan,941xx,CA,10.35,0,Jul-1996,740,744,0,,,5,0,23712,49.4%,10,f,0.0,0.0,29002.420000002006,29002.42,25000.0,4002.42,0.0,0.0,0.0,Jan-2015,812.89,,May-2020,724,720,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,0,0.55,0.65,0.45,0.6,0.4
9921,841309,7750,7750,7500.0, 60 months, 16.49%,190.49,D,D3,Courthouse Convalescent Center,8 years,MORTGAGE,65000.0,Not Verified,Aug-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=841309,debt_consolidation,Consolidate,082xx,NJ,22.74,0,Aug-1995,680,684,0,,,13,0,24962,72.7%,21,f,0.0,0.0,6721.51,6503.87,3331.3,2764.38,0.0,625.83,6.2582999968,May-2014,29.7,,Oct-2016,529,525,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,1,0.35,0.55,0.5,0.4,0.65
2435,927235,10000,10000,10000.0, 36 months, 15.96%,351.38,C,C5,Stanford hospital,9 years,RENT,51000.0,Not Verified,Nov-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=927235,credit_card,credit card refinance,940xx,CA,9.39,0,Dec-2006,675,679,3,,,10,0,10504,89.8%,12,f,0.0,0.0,7027.600000000001,7027.6,4957.89,2058.11,0.0,11.6,0.0,Aug-2013,351.38,,May-2020,679,675,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,1,0.35,0.55,0.5,0.4,0.6
8886,859049,10000,10000,10000.0, 36 months,  5.99%,304.18,A,A2,,,RENT,60000.0,Verified,Aug-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=859049,debt_consolidation,Bill Consolidation2014,905xx,CA,6.2,0,Jun-1981,745,749,0,43.0,,10,0,7515,26.2%,20,f,0.0,0.0,10725.8442515584,10725.84,10000.0,725.84,0.0,0.0,0.0,Apr-2013,5251.25,,Mar-2013,809,805,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,0,0.55,0.65,0.45,0.6,0.4
9833,842971,6000,6000,5825.0, 36 months, 10.99%,196.41,B,B3,Royal Bank of Scotland,< 1 year,RENT,225000.0,Verified,Aug-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=842971,car,Blue Jeep,105xx,NY,5.51,0,Dec-1996,725,729,0,,,3,0,25555,91.3%,18,f,0.0,0.0,6699.9893025228,6504.57,6000.0,699.99,0.0,0.0,0.0,Dec-2012,1772.23,,Sep-2018,709,705,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,0,0.35,0.55,0.5,0.65,0.45
5339,987255,3000,3000,3000.0, 60 months, 10.65%,64.71,B,B2,Sunland-State of florida,10+ years,MORTGAGE,25500.0,Not Verified,Oct-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=987255,home_improvement,loan,324xx,FL,24.28,0,Oct-1999,735,739,0,,,5,0,10458,82.3%,16,f,0.0,0.0,2264.85,2264.85,1543.84,703.93,0.0,17.08,0.0,Oct-2014,64.71,,Feb-2017,594,590,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,1,0.55,0.65,0.45,0.6,0.4
6260,971708,23000,23000,23000.0, 60 months, 12.42%,516.52,B,B4,North Greene Unit District #3,10+ years,MORTGAGE,39000.0,Verified,Oct-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=971708,small_business,Small Business Loan,620xx,IL,7.88,0,Jan-1994,760,764,1,,,10,0,6840,24.5%,29,f,0.0,0.0,20137.59,20137.59,12059.77,6525.91,0.01,1551.9,277.7147999961,Dec-2014,0.01,,Oct-2016,499,0,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,1,0.55,0.65,0.45,0.6,0.4
9514,840806,35000,35000,34725.0, 36 months, 17.49%,1256.4,D,D5,Bremer Financial Services,10+ years,MORTGAGE,130000.0,Verified,Aug-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=840806,credit_card,Credit Card Loan,551xx,MN,17.8,1,May-1996,680,684,0,17.0,,11,0,39791,74.9%,28,f,0.0,0.0,42382.1453439108,42049.14,35000.0,7382.15,0.0,0.0,0.0,Feb-2013,21054.59,,Mar-2013,739,735,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,0,0.35,0.55,0.5,0.4,0.6
