LLM,llm_key,Dimension,ElasticNet_R2,Ridge_R2,R2_Improvement,ElasticNet_RMSE,Ridge_RMSE,Sparsity_%
Llama-3.1-8B,llama,openness,-0.000709424482597365,-1.4105335551398404,1.409824130657243,0.11305690751966121,0.1754687157919579,100.0
Llama-3.1-8B,llama,conscientiousness,-0.04909131559939173,-0.5502116163796005,0.5011203007802087,0.17745790878185255,0.2157169180245227,95.57291666666666
Llama-3.1-8B,llama,extraversion,-0.0006320117112914581,-2.2622695162877577,2.2616375045764663,0.1299268128163643,0.2345964888227544,100.0
Llama-3.1-8B,llama,agreeableness,-0.05582118584537277,-1.5331605527911818,1.477339366945809,0.1696184327633664,0.2627297292221066,94.01041666666666
Llama-3.1-8B,llama,neuroticism,-0.03182788372675338,-0.91490621438138,0.8830783306546266,0.2098849986710689,0.2859246006702633,100.0
GPT-OSS-120B,gpt,openness,-0.01930350935103964,-0.30170740152490705,0.2824038921738674,0.13007274692647314,0.14699116749412255,100.0
GPT-OSS-120B,gpt,conscientiousness,-0.0050438538394919075,-0.5365504862219772,0.5315066323824853,0.09422497729163307,0.11650564072045114,100.0
GPT-OSS-120B,gpt,extraversion,-0.001971444976633041,-0.6357807657705739,0.6338093207939408,0.10088516007852293,0.1289027443646437,100.0
GPT-OSS-120B,gpt,agreeableness,-0.014337928223087548,-0.5867279588449132,0.5723900306218257,0.13730966965429253,0.1717358749107253,100.0
GPT-OSS-120B,gpt,neuroticism,-0.030784122665397984,-1.0396185403882887,1.0088344177228907,0.17446484782563398,0.24541355768250486,100.0
Gemma-2-9B,gemma,openness,-0.02130645587561686,-1.8320270328996617,1.8107205770240449,0.05365689982763972,0.08935034530288144,100.0
Gemma-2-9B,gemma,conscientiousness,-0.05526952121528028,-1.0949552896581967,1.0396857684429164,0.08536024968690757,0.12027112095705864,96.35416666666666
Gemma-2-9B,gemma,extraversion,-0.01902588607695299,-1.4994519121835652,1.4804260261066122,0.07318469824505985,0.11461727291484833,100.0
Gemma-2-9B,gemma,agreeableness,-0.016560124590434766,-0.41665775825424367,0.4000976336638089,0.11458573457987715,0.13526844275592076,100.0
Gemma-2-9B,gemma,neuroticism,-0.01049419953034647,-0.5518947963199117,0.5414005967895652,0.1668172645767404,0.20673081723790976,100.0
DeepSeek-V3.1,deepseek,openness,-0.00043361847610001725,-0.3792271855333096,0.37879356705720957,0.10807433782220674,0.12689553731751715,100.0
DeepSeek-V3.1,deepseek,conscientiousness,-0.005633272997699779,-2.1711384003004883,2.1655051273027883,0.08684612569068786,0.15421912333512236,100.0
DeepSeek-V3.1,deepseek,extraversion,-0.020306202318399524,-1.279941901863808,1.2596356995454085,0.07620080444059636,0.11390851313008579,100.0
DeepSeek-V3.1,deepseek,agreeableness,-0.005580392667149381,-0.37549831992755256,0.3699179272604032,0.15437373392458564,0.18054898139829828,100.0
DeepSeek-V3.1,deepseek,neuroticism,-0.0006260801671020833,-0.5190774343844622,0.5184513542173601,0.19988996975124226,0.2462890193094405,100.0
Qwen-2.5-72B,qwen,openness,-3.0318173362964274e-06,-0.7536524140826297,0.7536493822652934,0.07250608636087245,0.09601643220354207,100.0
Qwen-2.5-72B,qwen,conscientiousness,-8.74300567104136e-05,-0.2401474399834569,0.24006000992674648,0.135040579352612,0.1503771912107328,100.0
Qwen-2.5-72B,qwen,extraversion,-0.07815941040806962,-3.0044579835260894,2.9262985731180198,0.06705972033164363,0.12923856273575993,100.0
Qwen-2.5-72B,qwen,agreeableness,-0.00020394755735719805,-0.47530366468531526,0.47509971712795807,0.09726328973306261,0.11812596872374267,100.0
Qwen-2.5-72B,qwen,neuroticism,-0.0007291193040015465,-0.8117680542106129,0.8110389349066114,0.1496859269976841,0.20140674074728662,100.0
