sample_id,openness,conscientiousness,extraversion,agreeableness,neuroticism
0,0.3,0.6,0.3,0.7,0.4
1,0.3,0.6,0.2,0.7,0.1
2,0.3,0.7,0.3,0.6,0.1
3,0.2,0.6,0.3,0.4,0.1
4,0.3,0.7,0.4,0.6,0.2
5,0.2,0.5,0.3,0.4,0.1
6,0.3,0.6,0.2,0.5,0.1
7,0.3,0.5,0.3,0.6,0.7
8,0.3,0.7,0.4,0.6,0.2
9,0.3,0.7,0.2,0.6,0.1
10,0.3,0.7,0.2,0.6,0.4
11,0.2,0.6,0.3,0.4,0.1
12,0.3,0.6,0.2,0.5,0.1
13,0.3,0.7,0.4,0.6,0.2
14,0.3,0.6,0.3,0.5,0.2
15,0.4,0.6,0.3,0.5,0.1
16,0.3,0.6,0.2,0.4,0.1
17,0.3,0.75,0.3,0.5,0.2
18,0.2,0.7,0.2,0.4,0.1
19,0.3,0.7,0.4,0.6,0.5
20,0.3,0.7,0.4,0.6,0.2
21,0.3,0.6,0.2,0.4,0.1
22,0.3,0.6,0.3,0.5,0.2
23,0.3,0.6,0.3,0.5,0.2
24,0.3,0.6,0.3,0.4,0.2
25,0.2,0.6,0.2,0.3,0.1
26,0.2,0.6,0.2,0.4,0.1
27,0.3,0.6,0.3,0.7,0.2
28,0.3,0.6,0.4,0.5,0.2
29,0.3,0.4,0.2,0.7,0.1
30,0.3,0.6,0.2,0.5,0.7
31,0.2,0.6,0.3,0.8,0.1
32,0.2,0.3,0.1,0.4,0.1
33,0.4,0.6,0.3,0.5,0.7
34,0.2,0.6,0.3,0.5,0.1
35,0.3,0.6,0.2,0.7,0.7
36,0.3,0.6,0.4,0.5,0.2
37,0.3,0.7,0.2,0.5,0.1
38,0.3,0.6,0.2,0.4,0.3
39,0.3,0.6,0.3,0.4,0.2
40,0.3,0.4,0.2,0.5,0.1
41,0.2,0.4,0.2,0.3,0.1
42,0.3,0.4,0.2,0.3,0.6
43,0.3,0.6,0.2,0.5,0.1
44,0.3,0.6,0.2,0.7,0.5
45,0.4,0.7,0.4,0.8,0.3
46,0.3,0.6,0.3,0.5,0.2
47,0.2,0.4,0.3,0.6,0.1
48,0.2,0.3,0.2,0.4,0.1
49,0.3,0.6,0.3,0.4,0.1
50,0.3,0.6,0.3,0.4,0.2
51,0.2,0.8,0.3,0.6,0.1
52,0.3,0.6,0.3,0.5,0.2
53,0.2,0.4,0.3,0.5,0.1
54,0.3,0.6,0.3,0.5,0.2
55,0.3,0.6,0.3,0.8,0.7
56,0.3,0.6,0.3,0.5,0.7
57,0.2,0.6,0.1,0.4,0.3
58,0.6,0.7,0.4,0.5,0.3
59,0.3,0.6,0.3,0.5,0.2
60,0.3,0.5,0.2,0.6,0.1
61,0.3,0.6,0.2,0.4,0.1
62,0.2,0.6,0.3,0.4,0.1
63,0.2,0.7,0.3,0.5,0.1
64,0.2,0.6,0.3,0.4,0.1
65,0.3,0.7,0.4,0.5,0.2
66,0.2,0.6,0.3,0.4,0.1
67,0.2,0.6,0.3,0.5,0.3
68,0.3,0.6,0.3,0.5,0.2
69,0.2,0.4,0.3,0.4,0.1
70,0.2,0.4,0.3,0.5,0.6
71,0.3,0.6,0.4,0.5,0.2
72,0.3,0.65,0.2,0.7,0.1
73,0.3,0.5,0.2,0.6,0.1
74,0.3,0.6,0.2,0.5,0.1
75,0.3,0.4,0.3,0.5,0.6
76,0.3,0.7,0.4,0.6,0.1
77,0.3,0.6,0.3,0.4,0.2
78,0.3,0.6,0.3,0.4,0.2
79,0.3,0.6,0.2,0.4,0.1
80,0.3,0.6,0.4,0.7,0.8
81,0.3,0.6,0.3,0.4,0.2
82,0.3,0.6,0.4,0.8,0.2
83,0.3,0.6,0.4,0.5,0.2
84,0.3,0.7,0.2,0.6,0.4
85,0.4,0.7,0.3,0.6,0.2
86,0.4,0.7,0.3,0.6,0.2
87,0.3,0.7,0.2,0.5,0.4
88,0.2,0.8,0.3,0.6,0.1
89,0.3,0.6,0.4,0.7,0.2
90,0.3,0.6,0.3,0.5,0.2
91,0.3,0.6,0.3,0.5,0.2
92,0.2,0.3,0.1,0.2,0.1
93,0.3,0.6,0.3,0.4,0.2
94,0.3,0.6,0.4,0.5,0.2
95,0.3,0.7,0.4,0.6,0.2
96,0.3,0.6,0.2,0.5,0.1
97,0.3,0.7,0.3,0.6,0.2
98,0.2,0.3,0.1,0.3,0.1
99,0.3,0.7,0.2,0.6,0.4
100,0.3,0.7,0.3,0.4,0.2
101,0.3,0.6,0.4,0.5,0.2
102,0.2,0.3,0.1,0.7,0.1
103,0.2,0.6,0.3,0.4,0.1
104,0.2,0.6,0.3,0.4,0.1
105,0.3,0.6,0.3,0.4,0.2
106,0.3,0.6,0.4,0.7,0.2
107,0.3,0.6,0.2,0.4,0.1
108,0.3,0.6,0.4,0.7,0.1
109,0.2,0.6,0.3,0.5,0.1
110,0.3,0.6,0.2,0.5,0.1
111,0.3,0.5,0.4,0.5,0.2
112,0.3,0.7,0.4,0.5,0.2
113,0.3,0.6,0.4,0.5,0.2
114,0.3,0.7,0.4,0.6,0.2
115,0.2,0.6,0.1,0.4,0.1
116,0.3,0.7,0.2,0.5,0.2
117,0.3,0.6,0.2,0.5,0.1
118,0.3,0.6,0.3,0.4,0.2
119,0.3,0.6,0.2,0.5,0.1
120,0.3,0.6,0.2,0.5,0.2
121,0.2,0.6,0.2,0.4,0.1
122,0.2,0.5,0.2,0.4,0.1
123,0.3,0.6,0.2,0.5,0.1
124,0.3,0.6,0.4,0.5,0.2
125,0.3,0.7,0.2,0.5,0.1
126,0.2,0.3,0.1,0.3,0.1
127,0.3,0.6,0.4,0.7,0.1
128,0.2,0.6,0.1,0.3,0.1
129,0.3,0.4,0.4,0.5,0.2
130,0.3,0.4,0.3,0.7,0.1
131,0.3,0.6,0.4,0.5,0.2
132,0.3,0.7,0.4,0.5,0.2
133,0.7,0.4,0.3,0.5,0.2
134,0.2,0.6,0.3,0.7,0.1
135,0.2,0.5,0.2,0.4,0.1
136,0.2,0.6,0.3,0.4,0.1
137,0.2,0.6,0.1,0.3,0.1
138,0.3,0.4,0.3,0.5,0.2
139,0.2,0.6,0.3,0.4,0.1
140,0.3,0.7,0.3,0.6,0.2
141,0.2,0.3,0.2,0.4,0.1
142,0.3,0.5,0.2,0.6,0.7
143,0.3,0.6,0.3,0.6,0.2
144,0.2,0.6,0.3,0.7,0.1
145,0.3,0.6,0.4,0.4,0.2
146,0.3,0.7,0.4,0.6,0.2
147,0.2,0.6,0.3,0.4,0.1
148,0.2,0.6,0.3,0.4,0.1
149,0.3,0.6,0.3,0.7,0.5
150,0.2,0.6,0.3,0.4,0.1
151,0.6,0.3,0.4,0.5,0.1
152,0.2,0.6,0.3,0.5,0.1
153,0.2,0.7,0.3,0.9,0.1
154,0.3,0.6,0.4,0.7,0.2
155,0.3,0.5,0.3,0.5,0.2
156,0.3,0.6,0.2,0.5,0.1
157,0.3,0.6,0.3,0.5,0.2
158,0.3,0.6,0.3,0.5,0.2
159,0.3,0.6,0.3,0.7,0.4
160,0.4,0.6,0.3,0.5,0.2
161,0.3,0.6,0.3,0.4,0.2
162,0.3,0.6,0.4,0.5,0.2
163,0.3,0.7,0.2,0.5,0.1
164,0.3,0.6,0.3,0.7,0.1
165,0.3,0.6,0.3,0.5,0.2
166,0.2,0.6,0.1,0.4,0.1
167,0.3,0.7,0.4,0.6,0.1
168,0.3,0.6,0.3,0.5,0.2
169,0.2,0.6,0.1,0.3,0.4
170,0.3,0.6,0.2,0.5,0.4
171,0.3,0.6,0.3,0.5,0.2
172,0.3,0.6,0.4,0.5,0.2
173,0.3,0.6,0.2,0.4,0.1
