sample_id,openness,conscientiousness,extraversion,agreeableness,neuroticism
0,0.2,0.8,0.1,0.6,0.4
1,0.2,0.75,0.2,0.65,0.2
2,0.25,0.88,0.12,0.35,0.08
3,0.12,0.78,0.18,0.22,0.25
4,0.2,0.86,0.15,0.3,0.42
5,0.2,0.6,0.1,0.2,0.5
6,0.2,0.75,0.15,0.4,0.25
7,0.2,0.6,0.2,0.4,0.7
8,0.25,0.82,0.15,0.66,0.3
9,0.25,0.85,0.15,0.45,0.2
10,0.2,0.78,0.15,0.62,0.55
11,0.2,0.8,0.2,0.3,0.2
12,0.2,0.78,0.15,0.4,0.35
13,0.3,0.9,0.2,0.6,0.2
14,0.2,0.45,0.15,0.4,0.6
15,0.73,0.81,0.28,0.42,0.19
16,0.2,0.82,0.15,0.45,0.3
17,0.3,0.8,0.2,0.35,0.2
18,0.1,0.75,0.05,0.2,0.2
19,0.25,0.78,0.15,0.35,0.55
20,0.3,0.8,0.35,0.65,0.2
21,0.45,0.72,0.28,0.38,0.18
22,0.2,0.78,0.1,0.4,0.35
23,0.2,0.75,0.1,0.4,0.6
24,0.2,0.6,0.1,0.3,0.2
25,0.12,0.58,0.15,0.28,0.18
26,0.2,0.6,0.2,0.2,0.2
27,0.22,0.78,0.18,0.62,0.21
28,0.2,0.7,0.1,0.3,0.2
29,0.2,0.7,0.2,0.8,0.2
30,0.25,0.82,0.15,0.44,0.66
31,0.2,0.7,0.2,0.6,0.2
32,0.2,0.4,0.2,0.3,0.5
33,0.65,0.78,0.3,0.45,0.6
34,0.2,0.8,0.1,0.4,0.3
35,0.2,0.5,0.1,0.6,0.4
36,0.35,0.72,0.22,0.5,0.15
37,0.2,0.85,0.15,0.3,0.35
38,0.2,0.7,0.1,0.3,0.55
39,0.2,0.8,0.2,0.3,0.3
40,0.45,0.5,0.2,0.3,0.2
41,0.3,0.73,0.2,0.42,0.53
42,0.2,0.45,0.15,0.35,0.45
43,0.25,0.78,0.22,0.45,0.15
44,0.2,0.75,0.1,0.7,0.55
45,0.2,0.8,0.3,0.6,0.4
46,0.2,0.75,0.1,0.3,0.55
47,0.3,0.7,0.2,0.6,0.4
48,0.2,0.3,0.2,0.4,0.3
49,0.2,0.8,0.2,0.4,0.3
50,0.3,0.75,0.2,0.45,0.55
51,0.15,0.85,0.2,0.35,0.1
52,0.2,0.75,0.2,0.5,0.4
53,0.35,0.68,0.3,0.45,0.25
54,0.25,0.82,0.18,0.38,0.12
55,0.45,0.62,0.24,0.71,0.77
56,0.25,0.78,0.12,0.42,0.66
57,0.2,0.65,0.15,0.3,0.6
58,0.7,0.8,0.4,0.5,0.3
59,0.2,0.78,0.15,0.3,0.45
60,0.35,0.78,0.2,0.45,0.3
61,0.45,0.75,0.2,0.35,0.15
62,0.2,0.75,0.15,0.25,0.1
63,0.15,0.75,0.1,0.2,0.25
64,0.2,0.68,0.15,0.45,0.2
65,0.2,0.85,0.15,0.35,0.2
66,0.2,0.73,0.15,0.32,0.35
67,0.2,0.6,0.1,0.35,0.45
68,0.15,0.78,0.12,0.32,0.58
