sample_id,openness,conscientiousness,extraversion,agreeableness,neuroticism
0,0.3,0.5,0.1,0.7,0.0
1,0.3,0.7,0.3,0.8,0.0
2,0.2,0.8,0.4,0.6,0.0
3,0.4,0.6,0.3,0.6,0.2
4,0.4,0.7,0.2,0.6,0.1
5,,,,,
6,0.3,0.7,0.2,0.6,0.2
7,0.4,0.3,0.2,0.6,0.7
8,0.3,0.6,0.3,0.7,0.1
9,0.4,0.8,0.2,0.6,0.0
10,0.4,0.8,0.3,0.6,0.2
11,0.4,0.6,0.4,0.7,0.2
12,0.4,0.6,0.2,0.5,0.4
13,0.3,0.8,0.2,0.8,0.0
14,0.2,0.3,0.2,0.3,0.5
15,0.6,0.8,0.4,0.7,0.2
16,0.4,0.6,0.3,0.7,0.2
17,0.5,0.7,0.4,0.6,0.2
18,0.2,0.6,0.0,0.4,0.0
19,0.4,0.6,0.2,0.7,0.5
20,0.5,0.7,0.4,0.8,0.2
21,0.4,0.5,0.2,0.6,0.2
22,0.3,0.7,0.2,0.6,0.1
23,0.3,0.7,0.2,0.6,0.0
24,0.2,0.6,0.2,0.7,0.0
25,0.4,0.6,0.4,0.7,0.2
26,0.3,0.4,0.3,0.4,0.0
27,0.3,0.4,0.2,0.7,0.0
28,0.3,0.4,0.2,0.6,0.5
29,,,,,
30,0.2,0.6,0.3,0.5,0.8
31,0.4,0.6,0.4,0.6,0.2
32,0.3,0.5,0.1,0.4,0.6
33,0.45,0.7,0.35,0.65,0.2
34,0.4,0.6,0.2,0.7,0.1
35,0.3,0.4,0.3,0.5,0.7
36,0.4,0.3,0.2,0.8,0.1
37,0.2,0.8,0.1,0.6,0.0
38,0.4,0.5,0.4,0.6,0.7
39,0.4,0.6,0.3,0.7,0.2
40,0.2,0.4,0.1,0.1,0.1
41,0.3,0.4,0.2,0.5,0.2
42,0.4,0.6,0.4,0.6,0.3
43,0.3,0.6,0.2,0.7,0.1
44,0.4,0.6,0.4,0.7,0.6
45,0.2,0.5,0.2,0.7,0.0
46,0.2,0.6,0.4,0.5,0.3
47,0.3,0.4,0.4,0.6,0.0
48,0.4,0.3,0.4,0.6,0.4
49,0.2,0.6,0.0,0.4,0.0
50,,,,,
51,0.4,0.9,0.2,0.5,0.1
52,0.4,0.6,0.3,0.6,0.2
53,0.5,0.4,0.0,0.7,0.0
54,0.4,0.7,0.3,0.6,0.2
55,0.3,0.4,0.2,0.7,0.8
56,0.3,0.6,0.2,0.7,0.1
57,0.2,0.4,0.2,0.4,0.6
58,0.3,0.5,0.4,0.6,0.2
59,0.35,0.45,0.25,0.55,0.1
60,0.4,0.6,0.3,0.4,0.2
61,0.4,0.5,0.3,0.5,0.0
62,0.3,0.4,0.2,0.4,0.1
63,0.4,0.6,0.3,0.7,0.2
64,0.4,0.5,0.3,0.6,0.2
65,0.3,0.7,0.0,0.4,0.0
66,0.4,0.6,0.4,0.6,0.3
67,0.2,0.4,0.1,0.4,0.6
68,0.2,0.5,0.2,0.5,0.1
69,0.2,0.6,0.4,0.7,0.1
70,0.2,0.4,0.2,0.4,0.6
71,0.3,0.6,0.4,0.7,0.2
72,0.5,0.8,0.3,0.9,0.1
73,0.1,0.1,0.1,0.1,0.1
74,0.2,0.4,0.2,0.3,0.1
75,0.3,0.4,0.3,0.6,0.7
76,0.3,0.8,0.3,0.8,0.0
77,0.2,0.3,0.2,0.4,0.5
78,0.4,0.6,0.3,0.5,0.2
79,0.4,0.6,0.3,0.7,0.1
80,0.4,0.5,0.3,0.6,0.7
81,0.3,0.5,0.5,0.5,0.3
82,0.3,0.6,0.2,0.8,0.1
83,0.4,0.6,0.3,0.7,0.2
84,0.3,0.7,0.0,0.8,0.1
85,0.55,0.7,0.2,0.8,0.0
86,0.4,0.8,0.4,0.8,0.0
87,0.4,0.8,0.2,0.6,0.1
88,0.2,0.6,0.3,0.5,0.1
89,0.3,0.6,0.2,0.7,0.1
90,0.4,0.6,0.3,0.6,0.1
91,0.3,0.6,0.4,0.7,0.0
92,0.4,0.3,0.4,0.5,0.2
93,0.3,0.7,0.2,0.8,0.2
94,0.4,0.8,0.3,0.6,0.2
95,0.2,0.8,0.0,0.7,0.0
96,0.3,0.4,0.2,0.6,0.2
97,0.2,0.6,0.3,0.7,0.1
98,0.4,0.6,0.4,0.6,0.2
99,0.4,0.8,0.3,0.7,0.1
100,0.4,0.6,0.3,0.5,0.0
