sample_id,openness,conscientiousness,extraversion,agreeableness,neuroticism
0,0.4,0.8,0.5,0.6,0.5
1,0.4,0.8,0.5,0.7,0.3
2,0.3,0.8,0.3,0.6,0.2
3,0.3,0.6,0.4,0.5,0.5
4,0.4,0.8,0.5,0.6,0.4
5,0.3,0.5,0.4,0.5,0.7
6,0.3,0.7,0.4,0.5,0.4
7,0.3,0.5,0.4,0.7,0.8
8,0.3,0.8,0.4,0.7,0.6
9,0.3,0.8,0.4,0.6,0.2
10,0.3,0.8,0.4,0.7,0.5
11,0.3,0.5,0.4,0.5,0.6
12,0.3,0.7,0.4,0.6,0.5
13,0.3,0.9,0.4,0.8,0.2
14,0.3,0.6,0.4,0.5,0.5
15,0.6,0.7,0.4,0.5,0.3
16,0.3,0.8,0.4,0.6,0.4
17,0.4,0.8,0.5,0.6,0.3
18,0.2,0.8,0.3,0.4,0.5
19,0.3,0.7,0.4,0.6,0.6
20,0.4,0.8,0.6,0.7,0.3
21,0.4,0.7,0.3,0.6,0.2
22,0.3,0.7,0.4,0.6,0.5
23,0.3,0.7,0.4,0.6,0.5
24,0.3,0.6,0.4,0.5,0.7
25,0.3,0.7,0.5,0.6,0.4
26,0.3,0.7,0.3,0.5,0.6
27,0.3,0.8,0.4,0.7,0.5
28,0.3,0.5,0.4,0.6,0.7
29,0.4,0.6,0.5,0.8,0.3
30,0.3,0.8,0.2,0.5,0.7
31,0.2,0.7,0.3,0.6,0.5
32,0.3,0.6,0.4,0.5,0.7
33,0.65,0.55,0.4,0.6,0.5
34,0.3,0.8,0.4,0.6,0.4
35,0.3,0.6,0.4,0.7,0.8
36,0.4,0.5,0.5,0.6,0.3
37,0.3,0.8,0.4,0.6,0.3
38,0.3,0.6,0.4,0.5,0.7
39,0.3,0.6,0.4,0.5,0.5
40,0.5,0.4,0.3,0.4,0.2
41,0.3,0.5,0.5,0.6,0.4
42,0.3,0.4,0.5,0.6,0.7
43,0.3,0.8,0.4,0.7,0.3
44,0.3,0.7,0.4,0.7,0.6
45,0.3,0.8,0.5,0.7,0.4
46,0.3,0.6,0.4,0.5,0.7
47,0.3,0.6,0.4,0.8,0.7
48,0.3,0.4,0.3,0.5,0.6
49,0.3,0.8,0.4,0.6,0.5
50,0.3,0.6,0.3,0.5,0.7
51,0.3,0.85,0.4,0.6,0.2
52,0.3,0.7,0.4,0.5,0.6
53,0.3,0.5,0.4,0.6,0.7
54,0.4,0.8,0.5,0.7,0.3
55,0.4,0.7,0.4,0.8,0.7
56,0.3,0.6,0.3,0.5,0.7
57,0.3,0.8,0.5,0.6,0.5
58,0.6,0.5,0.5,0.5,0.4
59,0.4,0.8,0.3,0.6,0.5
60,0.4,0.6,0.3,0.5,0.5
61,0.6,0.7,0.5,0.6,0.3
62,0.2,0.7,0.3,0.5,0.4
63,0.3,0.8,0.4,0.5,0.2
