sample_id,openness,conscientiousness,extraversion,agreeableness,neuroticism
0,0.35,0.72,0.2,0.45,0.55
1,0.25,0.85,0.2,0.45,0.2
2,,,,,
3,0.55,0.81,0.34,0.71,0.44
4,0.35,0.78,0.2,0.65,0.3
5,,,,,
6,0.25,0.85,0.2,0.6,0.2
7,0.25,0.81,0.18,0.44,0.62
8,0.3,0.8,0.3,0.6,0.4
9,0.25,0.85,0.2,0.6,0.35
10,,,,,
11,0.35,0.81,0.22,0.3,0.18
12,0.2,0.8,0.2,0.4,0.2
13,0.45,0.81,0.28,0.52,0.22
14,,,,,
15,0.2,0.7,0.1,0.4,0.6
16,0.2,0.8,0.2,0.5,0.6
17,,,,,
18,,,,,
19,0.35,0.82,0.28,0.25,0.22
20,0.68,0.82,0.53,0.66,0.18
21,,,,,
22,0.75,0.85,0.35,0.5,0.2
23,0.2,0.8,0.1,0.3,0.2
24,,,,,
25,0.71,0.86,0.18,0.44,0.24
26,0.35,0.78,0.3,0.81,0.28
27,,,,,
28,0.2,0.8,0.2,0.4,0.2
29,0.2,0.6,0.2,0.7,0.4
30,0.25,0.62,0.15,0.71,0.66
31,0.2,0.85,0.15,0.45,0.1
32,,,,,
33,0.25,0.82,0.12,0.42,0.58
34,0.55,0.7,0.2,0.45,0.2
35,0.2,0.85,0.15,0.35,0.1
36,0.2,0.6,0.2,0.8,0.6
37,0.25,0.78,0.2,0.4,0.35
38,,,,,
39,0.35,0.78,0.25,0.4,0.45
40,,,,,
41,0.5,0.75,0.2,0.35,0.2
42,,,,,
43,0.25,0.85,0.2,0.45,0.15
44,0.35,0.85,0.2,0.65,0.4
45,0.35,0.78,0.2,0.4,0.45
46,0.2,0.9,0.1,0.4,0.6
47,,,,,
48,,,,,
49,0.2,0.75,0.2,0.55,0.35
50,0.4,0.8,0.2,0.3,0.2
51,0.2,0.75,0.15,0.4,0.3
52,0.35,0.78,0.4,0.65,0.3
53,,,,,
54,0.2,0.4,0.2,0.3,0.35
55,,,,,
56,0.3,0.85,0.2,0.7,0.55
57,0.66,0.72,0.34,0.57,0.42
58,0.2,0.85,0.15,0.45,0.3
59,0.4,0.8,0.2,0.5,0.6
60,0.3,0.7,0.2,0.4,0.6
61,0.35,0.85,0.25,0.5,0.15
62,0.15,0.85,0.25,0.65,0.45
63,,,,,
64,0.2,0.7,0.2,0.5,0.2
65,0.2,0.85,0.2,0.6,0.25
66,0.2,0.6,0.2,0.4,0.2
67,,,,,
68,0.35,0.55,0.3,0.8,0.25
69,0.65,0.78,0.2,0.55,0.6
70,,,,,
71,0.2,0.85,0.15,0.4,0.2
72,,,,,
73,0.35,0.85,0.2,0.4,0.2
74,0.2,0.8,0.15,0.4,0.3
75,0.2,0.82,0.15,0.68,0.57
76,0.2,0.8,0.15,0.6,0.4
77,0.35,0.78,0.2,0.45,0.2
78,,,,,
79,,,,,
80,0.6,0.8,0.3,0.7,0.4
81,,,,,
82,0.3,0.8,0.2,0.6,0.4
83,0.35,0.78,0.2,0.65,0.2
84,0.25,0.82,0.15,0.44,0.2
85,0.25,0.85,0.15,0.4,0.2
86,0.2,0.85,0.3,0.65,0.1
87,0.3,0.8,0.2,0.6,0.2
88,0.4,0.6,0.2,0.4,0.2
89,0.2,0.6,0.2,0.4,0.2
90,0.35,0.77,0.23,0.81,0.62
91,0.3,0.85,0.1,0.65,0.2
92,0.2,0.85,0.15,0.45,0.2
93,0.2,0.78,0.15,0.28,0.1
94,,,,,
95,0.3,0.75,0.4,0.6,0.3
96,0.66,0.68,0.34,0.45,0.22
97,0.2,0.8,0.15,0.4,0.3
98,,,,,
99,,,,,
100,,,,,
101,0.2,0.6,0.2,0.75,0.6
102,,,,,
103,0.2,0.8,0.15,0.4,0.6
104,0.2,0.86,0.15,0.4,0.1
105,,,,,
106,0.2,0.85,0.1,0.3,0.2
107,0.25,0.78,0.15,0.6,0.2
108,0.25,0.85,0.2,0.4,0.15
109,0.34,0.81,0.22,0.62,0.48
110,0.2,0.8,0.45,0.75,0.15
111,0.2,0.8,0.2,0.4,0.2
112,0.35,0.75,0.3,0.25,0.2
113,,,,,
114,,,,,
115,0.35,0.85,0.2,0.55,0.6
116,,,,,
117,0.2,0.78,0.15,0.42,0.34
118,0.4,0.78,0.2,0.62,0.55
119,0.35,0.78,0.2,0.35,0.15
120,0.25,0.82,0.18,0.42,0.61
121,0.3,0.8,0.2,0.4,0.1
122,0.2,0.8,0.1,0.3,0.2
123,0.3,0.8,0.2,0.5,0.6
124,,,,,
125,0.2,0.85,0.15,0.6,0.2
126,0.3,0.8,0.2,0.4,0.2
127,0.3,0.85,0.2,0.6,0.25
128,0.2,0.8,0.1,0.3,0.7
129,0.45,0.78,0.2,0.55,0.15
130,0.2,0.8,0.2,0.5,0.3
131,,,,,
132,0.55,0.78,0.2,0.55,0.65
133,,,,,
134,0.35,0.78,0.22,0.44,0.18
135,0.35,0.78,0.22,0.62,0.41
136,0.3,0.8,0.2,0.5,0.1
137,0.42,0.86,0.14,0.4,0.26
138,0.25,0.88,0.22,0.55,0.15
139,0.3,0.85,0.2,0.45,0.35
140,,,,,
141,0.25,0.6,0.2,0.7,0.35
142,0.3,0.85,0.2,0.4,0.15
143,0.78,0.82,0.22,0.45,0.15
144,,,,,
145,,,,,
146,0.2,0.8,0.15,0.45,0.3
147,0.2,0.78,0.15,0.45,0.62
148,0.35,0.78,0.22,0.55,0.2
149,0.45,0.78,0.3,0.55,0.2
150,,,,,
151,0.35,0.78,0.2,0.4,0.35
152,,,,,
153,0.2,0.88,0.12,0.55,0.1
154,0.2,0.8,0.2,0.4,0.55
155,0.35,0.85,0.2,0.55,0.15
156,0.2,0.8,0.2,0.4,0.2
157,0.2,0.85,0.1,0.45,0.55
158,0.2,0.8,0.2,0.35,0.15
159,0.25,0.75,0.15,0.6,0.2
160,0.45,0.72,0.38,0.34,0.48
161,0.3,0.85,0.2,0.4,0.35
162,0.2,0.6,0.1,0.7,0.3
163,0.2,0.85,0.15,0.55,0.25
164,0.25,0.85,0.3,0.65,0.2
165,0.52,0.81,0.39,0.76,0.18
166,,,,,
167,,,,,
168,0.2,0.86,0.3,0.55,0.15
169,0.55,0.78,0.28,0.52,0.18
170,0.35,0.78,0.42,0.72,0.18
171,0.35,0.81,0.28,0.62,0.18
172,0.73,0.82,0.18,0.58,0.15
173,0.68,0.85,0.35,0.45,0.2
174,0.2,0.8,0.2,0.6,0.2
175,0.25,0.82,0.12,0.44,0.18
176,,,,,
177,0.25,0.85,0.3,0.7,0.55
178,0.25,0.85,0.15,0.35,0.15
179,0.2,0.85,0.15,0.75,0.1
180,0.25,0.85,0.2,0.45,0.2
181,0.35,0.85,0.2,0.45,0.25
182,0.2,0.8,0.2,0.7,0.3
183,0.3,0.8,0.2,0.4,0.6
184,0.25,0.72,0.2,0.42,0.55
185,,,,,
186,0.68,0.85,0.45,0.78,0.4
187,0.18,0.58,0.15,0.42,0.71
188,0.2,0.8,0.2,0.4,0.2
189,0.2,0.75,0.15,0.45,0.35
190,0.3,0.85,0.2,0.6,0.7
191,0.25,0.82,0.18,0.55,0.34
192,0.2,0.85,0.25,0.4,0.2
193,0.3,0.85,0.2,0.55,0.2
194,0.22,0.66,0.18,0.61,0.73
195,,,,,
196,0.2,0.8,0.2,0.6,0.4
197,0.2,0.8,0.2,0.6,0.3
198,0.2,0.8,0.15,0.55,0.2
199,0.2,0.85,0.25,0.35,0.1
200,0.48,0.78,0.25,0.42,0.3
201,0.35,0.82,0.27,0.68,0.44
202,,,,,
203,0.35,0.85,0.3,0.65,0.3
204,0.2,0.8,0.1,0.6,0.4
205,0.4,0.7,0.2,0.3,0.4
206,0.82,0.86,0.3,0.42,0.18
207,0.2,0.7,0.1,0.6,0.4
208,0.25,0.78,0.12,0.55,0.81
209,,,,,
210,0.3,0.8,0.3,0.6,0.4
211,0.55,0.65,0.2,0.45,0.6
212,0.65,0.78,0.35,0.7,0.2
213,0.2,0.8,0.25,0.5,0.2
214,0.35,0.85,0.2,0.55,0.2
215,0.3,0.8,0.2,0.55,0.2
216,0.82,0.86,0.55,0.71,0.18
217,0.55,0.78,0.35,0.4,0.2
218,0.3,0.8,0.2,0.6,0.2
219,0.5,0.8,0.2,0.3,0.2
220,0.35,0.82,0.25,0.38,0.12
221,0.2,0.8,0.15,0.65,0.2
222,0.25,0.78,0.15,0.4,0.15
223,0.55,0.78,0.35,0.4,0.2
224,0.25,0.82,0.18,0.58,0.15
225,0.2,0.8,0.2,0.6,0.4
226,0.2,0.85,0.1,0.3,0.2
227,0.4,0.8,0.3,0.75,0.2
228,,,,,
229,0.2,0.85,0.25,0.45,0.2
230,0.2,0.86,0.1,0.58,0.15
231,0.62,0.86,0.38,0.71,0.12
232,0.2,0.8,0.15,0.35,0.1
233,,,,,
234,0.35,0.62,0.18,0.42,0.15
235,0.2,0.78,0.15,0.55,0.45
236,,,,,
237,0.35,0.75,0.2,0.65,0.45
238,0.35,0.85,0.2,0.55,0.3
239,0.3,0.85,0.35,0.55,0.2
240,0.3,0.85,0.2,0.4,0.5
241,0.2,0.68,0.15,0.45,0.6
242,0.35,0.85,0.2,0.55,0.15
243,0.25,0.75,0.15,0.45,0.2
244,0.3,0.85,0.15,0.4,0.65
245,,,,,
246,0.25,0.78,0.2,0.42,0.66
247,0.25,0.78,0.15,0.66,0.42
248,,,,,
249,0.25,0.85,0.15,0.45,0.2
250,0.2,0.45,0.1,0.4,0.63
251,0.25,0.85,0.15,0.3,0.35
252,0.45,0.78,0.2,0.65,0.15
253,0.73,0.82,0.42,0.55,0.18
254,,,,,
255,0.2,0.8,0.1,0.35,0.3
256,0.25,0.85,0.3,0.5,0.2
