sample_id,openness,conscientiousness,extraversion,agreeableness,neuroticism
0,0.2,0.4,0.2,0.6,0.1
1,0.3,0.7,0.4,0.6,0.2
2,0.5,0.7,0.4,0.8,0.2
3,0.5,0.7,0.3,0.6,0.1
4,0.4,0.7,0.3,0.6,0.2
5,0.4,0.6,0.2,0.8,0.3
6,0.5,0.8,0.4,0.7,0.1
7,0.5,0.7,0.4,0.8,0.2
8,0.6,0.7,0.4,0.8,0.2
9,0.5,0.8,0.4,0.9,0.1
10,0.3,0.4,0.2,0.6,0.4
11,0.6,0.8,0.4,0.7,0.2
12,0.4,0.7,0.3,0.7,0.4
13,0.6,0.8,0.2,0.7,0.1
14,0.5,0.8,0.4,0.7,0.2
15,0.4,0.5,0.2,0.6,0.4
16,0.2,0.4,0.0,0.4,0.1
17,0.3,0.7,0.2,0.5,0.0
18,0.8,0.9,0.4,0.8,0.1
19,0.4,0.7,0.2,0.7,0.0
20,0.6,0.8,0.4,0.7,0.1
21,0.3,0.8,0.1,0.6,0.0
22,0.4,0.8,0.2,0.6,0.0
23,0.3,0.6,0.2,0.5,0.1
24,0.3,0.6,0.2,0.8,0.1
25,0.4,0.6,0.2,0.7,0.4
26,0.4,0.7,0.2,0.8,0.1
27,0.4,0.7,0.3,0.7,0.1
28,0.3,0.7,0.3,0.6,0.2
29,0.4,0.4,0.3,0.7,0.3
30,0.4,0.3,0.3,0.6,0.9
31,0.4,0.7,0.0,0.7,0.0
32,0.3,0.9,0.1,0.6,0.0
33,0.5,0.7,0.2,0.6,0.0
34,0.4,0.6,0.2,0.8,0.1
35,0.3,0.8,0.2,0.8,0.1
36,0.4,0.7,0.3,0.7,0.0
37,0.5,0.6,0.4,0.6,0.2
38,0.4,0.6,0.2,0.5,0.1
39,0.4,0.6,0.4,0.7,0.3
40,0.3,0.9,0.1,0.6,0.2
41,0.4,0.6,0.3,0.6,0.2
42,0.4,0.6,0.3,0.7,0.1
43,0.4,0.6,0.3,0.7,0.2
44,0.6,0.8,0.3,0.7,0.1
45,0.4,0.6,0.2,0.7,0.1
46,0.3,0.8,0.2,0.7,0.0
47,0.3,0.4,0.2,0.7,0.3
48,0.6,0.8,0.4,0.7,0.1
49,0.3,0.7,0.3,0.5,0.0
50,0.4,0.6,0.2,0.7,0.1
51,0.5,0.7,0.4,0.7,0.1
52,0.4,0.6,0.2,0.8,0.0
53,0.4,0.7,0.3,0.6,0.0
54,0.3,0.4,0.2,0.2,0.4
55,0.2,0.9,0.2,0.6,0.1
56,0.4,0.6,0.2,0.8,0.0
57,0.4,0.3,0.2,0.6,0.2
58,0.2,0.7,0.0,0.4,0.0
59,0.4,0.6,0.2,0.7,0.1
60,0.4,0.6,0.2,0.7,0.3
61,0.4,0.7,0.2,0.8,0.1
62,0.4,0.7,0.2,0.6,0.0
63,0.3,0.4,0.2,0.6,0.7
64,0.2,0.5,0.4,0.8,0.2
65,0.3,0.7,0.3,0.8,0.0
66,0.4,0.6,0.2,0.8,0.0
67,0.3,0.7,0.4,0.6,0.2
68,0.6,0.7,0.5,0.8,0.2
69,0.5,0.8,0.6,0.6,0.4
70,0.4,0.7,0.2,0.6,0.1
71,0.4,0.7,0.3,0.7,0.1
72,0.5,0.7,0.3,0.8,0.2
73,0.4,0.6,0.4,0.6,0.2
74,0.4,0.6,0.2,0.7,0.1
75,0.3,0.5,0.1,0.7,0.0
76,0.3,0.7,0.2,0.5,0.4
77,0.5,0.7,0.5,0.7,0.3
78,0.5,0.2,0.3,0.6,0.1
79,0.4,0.7,0.2,0.6,0.1
80,0.7,0.9,0.4,0.8,0.1
81,0.4,0.7,0.2,0.6,0.3
82,0.4,0.5,0.3,0.6,0.2
83,0.4,0.7,0.3,0.6,0.2
84,0.2,0.8,0.1,0.5,0.0
85,0.4,0.7,0.2,0.6,0.1
