sample_id,desc_length,loan_amnt,grade
0,275,4800,A
1,511,19125,C
2,334,21000,C
3,739,23500,G
4,322,12000,C
5,303,15000,B
6,573,24000,B
7,333,21000,B
8,373,13000,B
9,722,7200,B
10,320,7700,B
11,422,7000,C
12,335,22000,B
13,318,3000,D
14,763,12600,B
15,269,12000,D
16,265,8000,B
17,269,14400,B
18,1354,10000,D
19,266,9000,B
20,828,3000,B
21,321,18000,A
22,692,3000,B
23,287,5000,B
24,331,12000,B
25,1473,12500,G
26,326,12000,A
27,304,29100,B
28,372,8000,C
29,373,9000,B
30,328,4800,C
31,390,9125,B
32,1124,6000,D
33,612,4000,D
34,281,5000,B
35,248,12000,A
36,335,5000,B
37,309,4000,B
38,297,5000,E
39,338,10000,C
40,435,11500,A
41,306,20000,A
42,270,11200,B
43,609,15600,C
44,722,24500,C
45,583,25000,D
46,262,20000,D
47,274,5675,E
48,320,4000,B
49,300,5700,C
50,405,14000,A
51,335,35000,B
52,482,22400,A
53,272,35000,D
54,335,15000,B
55,346,3250,B
56,874,11500,C
57,319,9000,D
58,324,20000,B
59,473,7600,D
60,290,24000,D
61,577,6000,A
62,455,25000,C
63,626,32000,F
64,255,10000,A
65,248,9925,D
66,281,17000,B
67,832,8000,B
68,328,15000,A
69,459,4075,A
70,333,17200,B
71,310,28000,A
72,326,24000,C
73,1150,20000,B
74,292,10750,B
75,633,25000,C
76,293,28000,C
77,344,18200,C
78,445,9600,B
79,331,22400,C
80,384,18000,B
81,405,3500,C
82,477,12000,C
83,886,25000,D
84,330,15000,C
85,395,8900,A
86,321,20500,G
87,334,9000,A
88,369,5000,B
89,334,30000,B
90,335,14000,C
91,437,19750,G
92,937,25000,C
93,482,20000,A
94,299,19600,C
95,386,15000,C
96,357,11525,C
97,683,18225,C
98,434,18000,A
99,465,16450,D
100,415,18000,C
101,323,8000,A
102,308,12000,B
103,334,20000,C
104,485,4600,D
105,517,14000,A
106,318,20000,F
107,444,7000,B
108,357,21850,D
109,1162,12000,D
110,446,6500,B
111,673,14000,D
112,397,15000,A
113,320,11100,B
114,425,25000,C
115,1985,7500,C
116,320,7875,B
117,298,26000,D
118,332,10000,B
119,334,3000,D
120,270,15500,C
121,984,35000,E
122,400,3500,B
123,546,10000,F
124,378,30000,A
125,638,18200,C
126,438,18000,B
127,1589,12000,B
128,332,6500,B
129,537,28000,G
130,556,28000,B
131,348,3000,C
132,539,10000,C
133,554,5000,B
134,430,10000,C
135,339,35000,C
136,284,6500,B
137,2304,14000,D
138,751,12000,D
139,401,35000,C
140,489,15200,B
141,388,8300,A
142,447,3850,B
143,411,18000,A
144,367,34000,B
145,330,17750,C
146,298,13000,C
147,464,16000,C
148,316,2000,B
149,780,4000,B
150,321,23600,B
151,375,18000,B
152,478,3000,A
153,335,14000,B
154,325,20050,B
155,961,10000,A
156,314,28000,B
157,304,6000,D
158,289,7000,A
159,317,9600,B
160,339,4000,A
161,865,15400,B
162,232,7000,B
163,585,14825,D
164,1524,15000,C
165,445,10000,A
166,831,6350,D
167,339,12000,A
168,585,20000,D
169,376,13250,B
170,856,15000,A
171,328,14400,A
172,648,4900,A
173,900,8250,B
174,291,4000,E
175,292,6000,A
176,382,18000,B
177,2109,8000,G
178,565,29700,C
179,323,10000,B
180,346,23000,C
181,417,5000,B
182,433,12000,B
183,366,14400,B
184,295,12000,B
185,312,8400,B
186,2627,3000,F
187,332,29000,E
188,314,25000,F
189,374,10000,D
190,940,12000,A
191,334,9700,E
192,701,19000,B
193,612,21000,B
194,334,7825,B
195,470,14700,A
196,325,32000,B
197,326,12000,C
198,333,8500,B
199,295,15000,B
200,329,12000,B
201,1241,14500,C
202,332,9000,B
203,886,5000,C
204,328,14000,D
205,319,14000,B
206,971,5000,A
207,287,20000,E
208,335,14400,B
209,325,28000,C
210,538,20700,A
211,500,1500,D
212,778,15000,B
213,519,19900,B
214,501,5000,B
215,409,11200,D
216,1599,2000,A
217,312,13000,A
218,329,9925,A
219,422,28000,A
220,325,25600,B
221,286,14400,A
222,304,12000,B
223,335,10000,B
224,323,12000,A
225,504,15000,E
226,275,18550,B
227,357,5000,F
228,342,16000,A
229,795,20000,B
230,294,14000,B
231,3268,9200,C
232,322,28000,A
233,282,21000,D
234,359,6250,B
235,857,6000,A
236,516,10000,D
237,320,11200,B
238,2366,7500,F
239,757,20000,C
240,305,8400,C
241,498,7000,B
242,735,20000,B
243,436,8125,C
244,278,14400,A
245,333,11400,B
246,356,7500,A
247,326,6750,B
248,327,11500,D
249,341,24375,C
250,290,12000,A
251,271,29800,C
252,285,11000,A
253,1646,6250,A
254,1442,24250,C
255,334,6500,D
256,300,12000,D
257,922,19200,B
258,681,18000,B
259,629,15000,B
260,766,18225,B
261,335,7500,C
262,292,8000,C
263,277,14775,C
264,314,4325,C
265,294,5500,B
266,325,3500,B
267,356,14000,A
268,438,15000,A
269,325,12000,C
270,423,12000,B
271,992,30000,A
272,501,5000,D
273,364,9600,A
274,638,10000,B
275,653,3500,B
276,333,18000,E
277,305,29175,D
278,334,28000,B
279,424,6075,C
280,304,16325,D
281,333,12800,C
282,264,18000,D
283,315,2500,A
284,257,32350,F
285,282,12000,C
286,492,18000,B
287,327,10500,B
288,763,6000,A
289,490,3300,B
290,292,6400,C
291,400,17325,F
292,1716,6000,A
293,272,15825,C
294,846,2000,A
295,260,9000,B
296,305,12000,B
297,467,8500,A
298,327,25000,A
299,2600,6250,A
300,299,19325,C
301,335,12000,C
302,328,15000,B
303,826,7500,C
304,513,16000,A
305,332,24000,B
306,284,20000,D
307,545,8850,B
308,269,24000,E
309,570,7500,C
310,714,12375,A
311,329,12000,A
312,289,13900,E
313,307,12375,C
314,346,10575,E
315,249,8500,A
316,411,15000,B
317,302,14400,A
318,286,6000,C
319,283,2500,B
320,335,35000,E
321,267,9000,B
322,941,12100,D
323,282,20000,B
324,476,6000,E
325,408,20000,C
326,1111,15000,C
327,327,10000,B
328,318,10000,D
329,286,35000,B
330,264,24250,B
331,297,13600,C
332,329,6650,E
333,712,15000,C
334,2114,20000,C
335,788,20000,C
336,873,4000,B
337,653,16900,B
338,284,12000,B
339,297,6400,B
340,349,12000,C
341,643,18000,C
342,440,14000,E
343,300,19200,C
344,338,8000,C
345,493,6500,A
346,284,3500,A
347,727,2000,B
348,345,25000,C
349,279,11000,D
350,294,2000,D
351,331,11000,B
352,287,27575,B
353,902,15000,A
354,361,14000,A
355,275,23500,A
356,538,28000,B
357,309,15000,B
358,355,3000,B
359,242,20000,B
360,499,10000,C
361,673,22400,D
362,1811,4500,A
363,314,18000,B
364,668,18450,B
365,301,13000,C
366,788,6000,C
367,686,10000,D
368,505,3000,A
369,328,23000,B
370,450,19000,D
371,310,27000,B
372,570,9250,B
373,998,4800,D
374,330,6400,B
375,324,20050,C
376,278,12000,B
377,280,4750,B
378,404,6500,A
379,874,10000,D
380,445,8000,B
381,741,9000,B
382,269,10000,E
383,473,20000,B
384,335,10000,C
385,293,25000,B
386,394,11100,C
387,267,14000,A
388,259,6000,A
