loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,collections_12_mths_ex_med,application_type,pub_rec_bankruptcies,tax_liens,disbursement_method,target,openness,conscientiousness,extraversion,agreeableness,neuroticism,desc_length
4800,4800, 36 months,5.42,144.77,A,A1,City of Orlando,10+ years,MORTGAGE,76000.0,Not Verified,Jul-2011,"  Borrower added on 07/04/11 > Bought a boat , 2001 Stingray LX for 5k. NADA had the boat valued at 9k. In an attempt not to loss the sale over the weekend a credit card was used. Would like to pay back the credit card as soon as possible and keep a low monthly payment.<br/>",major_purchase,Stingray 2001,347xx,FL,10.23,0.0,Feb-1991,0.0,13.0,0.0,10704,21.1,39.0,0.0,Individual,0.0,0.0,Cash,0,0.6430947212594103,0.5392130979545838,0.6485960540051681,0.5230893711154944,0.7315286451230112,275
19125,19125, 60 months,14.33,448.29,C,C2,Transportation Security Administration,6 years,MORTGAGE,44277.0,Verified,Jul-2013,  Borrower added on 07/02/13 > I plan to use these funds to consolidate all my bills to pay off faster. Everyone can agree that these times are tough but what makes me worth the investment is that I have my priorities set straight and am well aware of the importance of fulfilling contracts to include financial.<br><br>  Borrower added on 07/02/13 > Having a secure job and a history of longevity with employers  this loan will definitely put me on the right track for securing a bright future financially.<br>,debt_consolidation,Consolidate,853xx,AZ,21.17,0.0,Jan-1996,0.0,17.0,0.0,20813,53.1,25.0,0.0,Individual,0.0,0.0,Cash,0,0.4487669841695448,0.3482875202652824,0.5251434721076236,0.4948299276736545,0.5851965731146052,511
21000,21000, 60 months,16.29,513.93,C,C4,Department of Defense,2 years,RENT,92000.0,Verified,Dec-2012,"  Borrower added on 12/08/12 > Recently paid off a large debt over a period of 18 months.  Would now like to pay off all my credit card debts by consolidating into one monthly payment, sell my current vehicle (high maintenance costs) and then lease a vehicle (no maintenance costs).  Pay off my debts quicker and manage my income.<br>",debt_consolidation,payitoff,221xx,VA,22.13,2.0,Jan-1996,0.0,9.0,0.0,11102,64.2,28.0,0.0,Individual,0.0,0.0,Cash,0,0.5607454181537977,0.4252688414728511,0.5823723843596527,0.4997163083113362,0.6116108363406865,334
23500,23500, 60 months,24.7,685.63,G,G1,Federal Avation Administration,4 years,MORTGAGE,77389.0,Source Verified,Mar-2013,"  Borrower added on 02/26/13 > The funds will be use as start up funds to begin my business. More specifically to purchase furniture and other equipment. <br>Thank you!<br><br>  Borrower added on 02/27/13 > I have a solid business plan and realistic financial for my business. I am a cautious investor. I will use the funds to allow me to become an extremely successful business.<br><br>Thank you!<br><br> Borrower added on 02/28/13 > I am not sure if this is appropriate. As a new entrepreneur it is important to have someone believe in your vision and success. Some of you may look at this simply as an investment with a higher rate of return, and that is fine. I see it as encouragement and others believing in my vision. Thanks you<br>",small_business,Business,309xx,GA,18.9,0.0,Aug-2000,5.0,13.0,1.0,20925,35.3,41.0,0.0,Individual,0.0,1.0,Cash,1,0.4046357734361695,0.4060764775147772,0.4998582385577244,0.4087762445149648,0.5386364940683761,739
12000,12000, 60 months,15.27,287.19,C,C4,,< 1 year,MORTGAGE,43200.0,Verified,Oct-2011,  Borrower added on 10/06/11 > I plan to use these funds to consolodate my debt and get things in order for my Family before my upcoming deployment with the Air Force Reserves. I also plan to use some of these funds to finish some home improvement projects I have nearly completed to continue to add to my home value.<br/>,debt_consolidation,Debt Consolidation,060xx,CT,16.44,1.0,Oct-1996,2.0,6.0,0.0,6619,45.3,26.0,0.0,Individual,0.0,0.0,Cash,0,0.4122250280664277,0.4105977710732147,0.4991820910006559,0.468315469977872,0.5252877905929426,322
15000,15000, 36 months,11.14,492.08,B,B2,Stop and Shop,10+ years,MORTGAGE,70000.0,Verified,Mar-2013,"  Borrower added on 02/24/13 > I purchased a home awhile back.  I am looking to consolidate all my debt, including my previous Lending Club loan all into one.  I only owe a small amount on my car.  My goal is to pay down all my debt, and have no car payment so I can be debt free other than my home.<br>",debt_consolidation,Debt Consolidation Loan,060xx,CT,19.86,0.0,Apr-2000,1.0,19.0,1.0,11265,20.0,28.0,0.0,Individual,1.0,0.0,Cash,0,0.5309000491968495,0.4995366464158849,0.5602293038474401,0.5550657896865717,0.6200755152931254,303
24000,24000, 36 months,12.53,803.2,B,B5,Highmark Inc.,10+ years,RENT,55059.49,Verified,Oct-2009,"This loan will be used to consolidate multiple high interest rate credit card balances into 1 monthly payment.  This debt was built up as a result of my wedding and honeymoon a few years ago. This loan will allow us to get out of debt in 3 years or less.    This will be much faster than paying down the high interest rate credit card balances, month by month.   We are planning on starting a family in a few years and this loan will give us a fresh start.  I always pay my bills on time and I have absolutely no history of late payments.  My job and income are secure.    ",debt_consolidation,Bill Consolidation Loan,150xx,PA,21.55,0.0,Jul-1992,0.0,15.0,0.0,21216,64.1,32.0,0.0,Individual,0.0,0.0,Cash,0,0.5795880764984546,0.601559852399579,0.5741108889843911,0.6191735914068882,0.6673026074593855,573
21000,21000, 36 months,10.64,683.94,B,B2,Williams Scotsman,3 years,MORTGAGE,110000.0,Verified,Aug-2013,"  Borrower added on 08/13/13 > Loan is to pay off high interest credit cards and close those accounts, not allowing further debt to occur. Several of my current cards have payments that only cover interest with only a portion going towards princple.  I would like to use this loan to begin a path to a credit card debt free life.<br>",debt_consolidation,Debt Consolidation,923xx,CA,19.81,0.0,May-1995,1.0,15.0,0.0,29725,74.1,40.0,0.0,Individual,0.0,0.0,Cash,0,0.5868624730299987,0.5936234330615601,0.6525614673143326,0.5392977216787986,0.5605044025461252,333
13000,13000, 36 months,12.21,433.1,B,B5,State of California,2 years,MORTGAGE,58200.0,Not Verified,Dec-2008,"The purpose of this loan is to consolidate debt from several credit cards into one lower-interest payment.   My girlfriend and I both have government jobs and recently bought a home. We are trying to implement a budget, tie up lose ends, and manage our money better.        We are in good shape financially... especially if we can pay off these damn credit cards!   Thanks!",credit_card,Destroy Credit Card Debt!,956xx,CA,16.04,0.0,Apr-1998,1.0,7.0,0.0,12671,60.6,14.0,0.0,Individual,0.0,0.0,Cash,0,0.4908804660127088,0.5187549294937955,0.4871455160122984,0.4943126956449701,0.5068115720918819,373
7200,7200, 60 months,11.36,157.85,B,B5,Skarven Enterprises  Inc.,2 years,RENT,71500.0,Not Verified,May-2010,"  Borrower added on 05/18/10 > Discover Card just hiked my rate to 24.99%. I asked them to lower the rate, but they refuse. I'm simply interested in paying off the card and paying a fixed rate loan (yes, even at 13%) to save on interest costs and to close out the card. Thank you.<br/> Borrower added on 05/22/10 > I've just submitted all of my recent tax and income forms and will happily  provide proof of my current income and performance bonus. If you look at my credit history, you will see I have NEVER been late with a payment, missed a payment, defaulted on any type of loan. The only thing I have going against me is a huge student loan bill. Thank you for looking at my loan and considering investing in me.<br/>",debt_consolidation,Discover Consolidation,078xx,NJ,20.34,0.0,Jan-2000,2.0,9.0,0.0,4807,80.1,28.0,0.0,Individual,0.0,0.0,Cash,0,0.5918519624409716,0.5334814850645166,0.5959950101675309,0.6594228924186843,0.6101634305027972,722
